imdb_id,title,wiki
tt0145487,Spider-Man,https://en.wikipedia.org/?curid=146947
tt0316654,Spider-Man 2,https://en.wikipedia.org/?curid=612052
tt0413300,Spider-Man 3,https://en.wikipedia.org/?curid=702117
tt0133093,The Matrix,https://en.wikipedia.org/?curid=30007
tt0234215,The Matrix Reloaded,https://en.wikipedia.org/?curid=123417
tt0242653,The Matrix Revolutions,https://en.wikipedia.org/?curid=210998
tt0120737,The Lord of the Rings: The Fellowship of the Ring,https://en.wikipedia.org/?curid=173941
tt0167261,The Lord of the Rings: The Two Towers,https://en.wikipedia.org/?curid=173944
tt0167260,The Lord of the Rings: The Return of the King,https://en.wikipedia.org/?curid=174251
tt0088763,Back to the Future,https://en.wikipedia.org/?curid=42993
tt0096874,Back to the Future Part II,https://en.wikipedia.org/?curid=213270
tt0099088,Back to the Future Part III,https://en.wikipedia.org/?curid=213275
tt0095016,Die Hard,https://en.wikipedia.org/?curid=97646
tt0099423,Die Hard 2,https://en.wikipedia.org/?curid=433824
tt0112864,Die Hard with a Vengeance,https://en.wikipedia.org/?curid=357473
tt0337978,Live Free or Die Hard,https://en.wikipedia.org/?curid=1752246
tt1606378,A Good Day to Die Hard,https://en.wikipedia.org/?curid=34228306
tt0079501,Mad Max,https://en.wikipedia.org/?curid=255898
tt0082694,The Road Warrior,https://en.wikipedia.org/?curid=262465
tt0089530,Mad Max Beyond Thunderdome,https://en.wikipedia.org/?curid=598868
tt0075148,Rocky,https://en.wikipedia.org/?curid=45772
tt0079817,Rocky II,https://en.wikipedia.org/?curid=149433
tt0084602,Rocky III,https://en.wikipedia.org/?curid=152328
tt0089927,Rocky IV,https://en.wikipedia.org/?curid=104984
tt0100507,Rocky V,https://en.wikipedia.org/?curid=153435
tt0479143,Rocky Balboa,https://en.wikipedia.org/?curid=2887437
tt0088247,The Terminator,https://en.wikipedia.org/?curid=30327
tt0103064,Terminator 2: Judgment Day,https://en.wikipedia.org/?curid=34344124
tt0181852,Terminator 3: Rise of the Machines,https://en.wikipedia.org/?curid=225615
tt0438488,Terminator Salvation,https://en.wikipedia.org/?curid=13670373
tt0120903,X-Men,https://en.wikipedia.org/?curid=19479460
tt0290334,X2,https://en.wikipedia.org/?curid=288303
tt0376994,X-Men: The Last Stand,https://en.wikipedia.org/?curid=2029825
tt1270798,X: First Class,https://en.wikipedia.org/?curid=28648635
tt1877832,X-Men: Days of Future Past,https://en.wikipedia.org/?curid=36613262
tt3385516,X-Men: Apocalypse,https://en.wikipedia.org/?curid=43530847
tt0458525,X-Men Origins: Wolverine,https://en.wikipedia.org/?curid=2982688
tt1430132,The Wolverine,https://en.wikipedia.org/?curid=29273565
tt3315342,Logan,https://en.wikipedia.org/?curid=43655965
tt0232500,The Fast and the Furious,https://en.wikipedia.org/?curid=248222
tt0322259,2 Fast 2 Furious,https://en.wikipedia.org/?curid=407288
tt0463985,The Fast and the Furious: Tokyo Drift,https://en.wikipedia.org/?curid=2913859
tt1013752,Fast & Furious,https://en.wikipedia.org/?curid=1899768
tt1596343,Fast Five,https://en.wikipedia.org/?curid=28085067
